CENSUS TRACT NUMBER,"Population, 2021"
5350573.06,4611
5350573.07,6129
5350576.16,6366
5350576.17,6724
5350573.09,6086
5350576.2,6606
5350576.22,7297
5350576.29,4160
5350560.0,6482
5350561.0,6821
5350574.0,6640
5350562.12,7158
5350562.13,1192
5350562.14,3889
5350562.15,3624
5350572.09,4674
5350572.1,3567
5350573.1,3168
5350573.11,4944
5350576.31,3726
5350576.33,2624
5350576.34,5987
5350576.43,6487
5350576.44,2727
5350576.52,5738
5350576.53,4365
5350576.54,5729
5350576.55,6734
5350576.57,4141
5350576.59,6394
5350576.62,6824
5350576.63,6577
5350576.65,3054
5350576.66,6457
5350576.68,4910
5350576.69,5710
5350575.07,3967
5350575.08,5669
5350576.45,2816
5350576.46,5286
5350576.47,4274
5350576.49,5144
5350576.5,6726
5350562.02,6521
5350562.03,5071
5350562.04,4830
5350562.05,5930
5350562.06,3056
5350562.07,4600
5350562.08,4201
5350562.09,4023
5350563.01,6622
5350563.02,3396
5350570.01,4012
5350570.02,4200
5350571.01,3838
5350571.02,4308
5350575.01,5985
5350575.02,4910
5350575.03,6598
5350575.04,6562
5350572.01,7707
5350575.05,6956
5350576.04,4529
5350576.05,6834
5350573.03,6410
5350562.11,3110
5350564.01,2351
5350564.02,4893
5350576.06,8244
5350576.07,4495
5350576.09,3966
5350528.2,5726
5350528.21,4781
5350528.22,6329
5350572.04,3388
5350572.05,6290
5350528.31,6442
5350573.05,5978
5350572.07,4650
5350572.08,5661
5350528.5,3385
5350528.51,4420
5350528.52,6489
5350528.53,2554
5350576.73,2587
5350576.74,8511
5350576.75,6421
5350576.76,4803
5350576.77,5196
5350576.78,5212
5350576.79,2684
5350576.8,3248
5350576.81,4741
5350576.82,5296
5350576.83,2549
5350576.84,5595
5350576.85,6827
5350576.86,4443
5350576.87,4013
5350576.88,4353
5350576.89,3694
5350576.9,3930
5350576.91,12629
5350576.92,5764
5350576.93,8477
5350576.94,4490
5350576.95,4269
5350576.96,7097
5350576.97,4351
5350576.98,29669
5350576.99,5773
5350577.0,9294
5350577.01,3270
5350577.02,5173
5350577.03,6193
5350577.04,6712
5350577.05,5208
5350577.06,5823
5350577.07,3726
5350577.08,4532
5350577.09,3472
